MO;Champ_altitude_amont_cana;Champ_altitude_aval_cana;Champs_altitude_point
EDV;ALTDEB;ALTFIN;COORLAMF|Z(MSL)|ALT_POINT|ALTITUDE
NCA;ALTITUDE_DEBUT;ALTITUDE_FIN;ALT_POINT|COORLAMF|Z_MSL
AUTRE;ALTDEB;ALTFIN;COORLAMF|ALT_POINT
